Timestamp	Language	Hashtags	Mentioned	Emojies	Content
2020-09-26 08:50:52	en	helsinkifinland pearljewelry soutache soutachejewelry helsinkiofficial handmadewithlove designer stylist europetravel stockholm_insta love passion outlook gioielli		🥰	Round earrings on ears🥰 Soon at yolandajewelry.com . . .#soutache #soutachejewelry #helsinkifinland #helsinkiofficial #pearljewelry #handmadewithlove #gioielli #designer #stylist #outlook #love #passion #stockholm_insta #europetravel
2020-09-24 14:29:40	en	helsinki smoothiebowl		🍒 ❤ 🥥 🍓	Beautiful inside and out 🍓🥥🍒❤️ #smoothiebowl #helsinki
2020-09-24 13:55:14	fi	futurecareer opiskelijaelämää millennials ownbusiness tavoite coffeeforlife nuoriyrittäjyys		♀ 🧘 ✨ 🤎 🏼 🤩 🤞	GOAL: Haluun keinuu risti-istunnas tulevissa (oman osakeyhtiön🤞🏼) bisnestapaamisissa. 🤎🧘🏼‍♀️ Sairaan jännää jakaa omia tavoitteitaan someen! Kommentoi tähän tai laita mul viestiii jos sul on samanlaisia tavoitteita tulevaisuudellesi TAI jos oot jo saavuttanut ne! Haluan inspiroitua sinusta. 🤩✨ Ei mul muuta! #futurecareer #coffeeforlife #millennials #tavoite #opiskelijaelämää #ownbusiness #nuoriyrittäjyys
2020-09-22 14:41:09	fi		pauligkulma cubiqanalytics	😊	Tänään alkoi edit eilen kuvatulle @cubiqanalytics asiakastarinalle. Hyvää settiä kasassa! Kaunis @pauligkulma oli loistovalinta kuvauspaikaksi. 😊
2020-09-21 17:45:48	en		pauligkulma	🏻 😅 😎 🙈 👇	Ella’s first pour in 6 months! 🙈😅 She has been extremely busy with reopening of @pauligkulma and no trainings in a while so there hasn’t been much time for latte art. . How did she do? Rate 1-10 below. 😎👇🏻
2020-09-21 17:02:46	fi	tuotantoyhtio filmmaking videokuvaus cameraman filmmakerslife paulig mainosvideo kuvauspa djiglobal cubiq mycameraismyweapon corporatevideo pauligkulma luovatoimisto blackmagicdesign kahvi ursaminipro	filmmakersworld pauligkulma cubiqanalytics	😎	Upea @pauligkulma toimi päivän kuvauspaikkana kun kuvattiin uutta asiakastarinaa asiakkaallemme @cubiqanalytics 😎 Pauligin jengi suoriutui kuvauksista todella hyvin, vaikka pidettiin rivakkaa tahtia yllä. Tosi nastaa taas päästä tekemään videosarjaan jatkoa. Kiitos! #videokuvaus #luovatoimisto #mainosvideo #tuotantoyhtiö @filmmakersworld #filmmaking #djiglobal #cameraman #filmmakerslife #pauligkulma #paulig #kahvi #cubiq #mycameraismyweapon #corporatevideo #kuvauspäivä #ursaminipro #blackmagicdesign
2020-09-21 15:36:23	en			🏻 🧘 ✨ 🏼 🙏 😉 💛 🤩 💫	Summer 2020 is officially over. Autumn starts with a taste of wonder in the mouth ... 🤩🤩 New things are happening ... The road has been drawn, now all that remains is to follow the path to the new destinations ... a chapter has closed .. 🧘🏼🧘🏼🙏🏻🙏🏻 A new page is coloring from the letters of wishes... ✨💫💫 Not surprisingly, everyone is the writer of their own life ... 😉😉 It's up to you what to write ...💛✨💫
2020-09-19 18:48:42	da			🥤	Ice Latte, favorite summer drink.🥤
2020-09-17 14:16:07	ja			🌿 ☕	お気に入りのカフェの1つ☕️🌿
2020-09-17 07:00:13	fi	paulig pauligininkku tietystipauligin pauligkulma kahvi	pauligkulma	🍰 😍 🥐	Kulmassa on Inkun mielestä laadukkaiden kahvien ja herkullisten kakkujen lisäksi Helsingin paras näkymä suoraan kaupungin sydämeen 😍 Mitä tilaat kahvin kanssa? Kommentoi emojilla "🍰" jos makeaa ja "🥐" jos otat mielummin suolaista purtavaa. @pauligkulma #paulig #pauligkulma #pauligininkku #kahvi #tietystipauligin
2020-09-14 07:51:44	fi	tietystipauligin pauliginpaula	pauligin_inkku pauligfi		Pala mennyttä kulkee aina mukana. Joku joskus haluaa kuulla siitä enemmän ja mielelläni siitä kerron. Tänään muisteltiin vuosia 2007-2010 ihan kameroiden kanssa. Myöhemmin syksyllä nähdään mitä sitä tuli puhuttua. @pauligin_inkku @pauligfi #tietystipauligin #pauliginpaula
2020-09-14 05:20:11	en			🙃	The Fierce part. 🙃
2019-10-04 15:50:19	en	friendshipgoals goodmoodfood dairyfree freebreakfast breku letsrace vegan powau breakfastgoals pauligkulma veganbreakfast yummie breakfasttime glutenfree	pauligkulma	♀ 🙀 🏻 ✨ 🙋 💌 🥑 😇 🏼 📩 ♥ 🍯 ‼ 🏆 👇	‼️🥑FREE BREKU FOR TWO🥑‼️⁣ We have new Brekkie menu in Paulig Kulma and we want to share these goodies with you guys ✨⁣ ⁣ It’s Friyayyy so let’s race 🏆👇🏼⁣ 1. like this post +⁣ 2. follow us +⁣ 3. tag your soulmate in breakfast⁣ -you can win breakfast for yourself and for your hun 🙋🏻‍♀️🍯⁣ Breakfast is served in Paulig Kulma Helsinki ( @pauligkulma )♥️⁣ The competition ends on 7.10 midnight and the winner will be notified personally by DM 📩💌⁣ There will be three pairs as winners!⁣ ⁣ Instagram or Facebook is not guilty of this race 😇⁣ •⁣ •⁣ #freebreakfast 🙀 #breku #breakfasttime #breakfastgoals #friendshipgoals #powau #pauligkulma #letsrace #glutenfree #dairyfree #vegan #veganbreakfast #yummie #goodmoodfood
2019-10-01 10:49:10	en	yummy	6ananagal pauligkulma	😍 👑 ✨ 🌹 ♥	N e w ✨✨✨✨B r e k k i e menu @pauligkulma 😍 jibii! #yummy ⁣ ⁣ Wazz new? vegan chocolate pancakes, powau granola & berries and milk, crab toast and smoothie of the month for example! The menu is designed by the best @6ananagal (can't live without her👑🌹✨)⁣ ⁣ Plz come and try it !!♥️⁣
2020-09-07 17:06:42	en			👉 🏾	Let me tell you something.. it’s not always easy. 👉🏾
2019-09-06 05:31:06	fi			🍳 🥑 😚 🍇 ☕	☕️🍳🍇🥑 aamupala & kaupungin vilinä. Ihanaa viikonloppua 😚
2020-08-17 13:31:22	fi			💛 ☀	Aina yhtä mukavaa käydä Helsingissä asioimassa ja hengailla kamusen kanssa matcha kupposen äärellä☀️ Ps.kotona odottaa rääkyvä sähköposti kaaos sekä muutama muu homma, mutta nyt nautin auringosta, seurasta ja tästä hetkestä - kotitoimisto saa hetken odottaa💛 Miten siellä viikko startannut?
2020-03-18 16:52:55	fi	babesofmissguided sponsored	riinapuonti eevaroots missguided	😌	Teki rehellisesti tosi hyvää käydä tänään vähän ihmisten ilmoilla - muuallakin kuin lähikaupassa😌 Dress @missguided #sponsored #babesofmissguided Photos @riinapuonti Edit @eevaroots
2018-12-03 18:44:12	fi	nailboxhelsinki_nudet nailboxhelsinki	nailboxhelsinki	🏻 🌸 🙊 ✨ 💖 🥇 ◾ 💅 🎀	Mikä näistä lakkauksista saa tittelin ”Marraskuun manikyyri”? 🥇🙊 Valitsimme 5 hienointa manikyyriä, mutta vain sinä päätät, mikä näistä on paras! Kommentoi alle: 1, 2, 3, 4 vai 5? ✨ ⠀ Mistä tiedät, että geelilakkaus sopii sinulle? ◾️kynsilakka irtoaa liian nopeasti; ◾️haluat kasvattaa omia kynsia; ◾️sinulla on vaurioituneet kynnet; ◾️haluat saada kynsiisi hienoja koristeluja; ◾️haluat säästää aikaa kynsilakkauksessa ja olla aina valmis menemään! ⠀ Tutustu hinnastoomme: 🌸50€ Geelilakkaus ilman koristeluja 🌸55€ Geelilakkaus koristelulla, 1-4 kynttä 🌸60€ Geelilakkaus koristelulla, yli 4 kynttä ⠀ 🌸Paciuksenkaari 14 💖+358 445 171173 🎀 Ajanvaraus WhatsAppissa (linkki keskusteluun biossa @nailboxhelsinki) 💅🏻#nailboxhelsinki_nudet #nailboxhelsinki
2020-09-24 14:29:40	en	helsinki smoothiebowl		🍒 ❤ 🥥 🍓	Beautiful inside and out 🍓🥥🍒❤️ #smoothiebowl #helsinki
